Pstng Date,Name,Category,Category_Type,Amount in USD,DocumentNo,Document Header Text,Reference,Assignment,Z_Score,Avg_For_Category,Deviation_Pct
2025-01-10,ID10,Bank charges,Outflow,-432.37838,2000000384,78675600015,HSBC 7-06823007,78675600015,21.044153410148056,-1.0155653055390113,42475.1
2025-01-10,KR10,AP,Outflow,-58348.975320000005,2000330247,78674600023,HSBC2C000323007,78674600023,4.109653829648745,-547.5099981885148,10557.2
2025-01-13,VN20,AP,Outflow,-68010.9795,2000001264,78801400063,HSBC2HSBC223009,78801400063,4.7966172527963495,-547.5099981885148,12321.9
2025-01-13,TW10,AP,Outflow,-61958.56804999999,2000196800,78802400039,HSBC TWD0123010,200019,4.366293977155853,-547.5099981885148,11216.4
2025-01-17,TW10,AP,Outflow,-81733.97907,2000197107,78952700060,HSBC TWD0123012,5000,5.772315315520672,-547.5099981885148,14828.3
2025-01-18,ID10,Bank charges,Outflow,-847.4100500000001,2000001652,78984300167,HSBC 7-06823013,78984300167,41.291587440214656,-1.0155653055390113,83342.2
2025-01-20,KR10,AP,Outflow,-57050.632719999994,2000331110,79065200054,HSBC2C000323015,79065200054,4.017342352619932,-547.5099981885148,10320.0
2025-01-20,KR10,AP,Outflow,-59302.63138,2000331109,79065200053,HSBC2C000323015,79065200053,4.177458274697438,-547.5099981885148,10731.3
2025-01-20,KR10,AP,Outflow,-71313.29089999999,2000331116,79065200060,HSBC2C000323015,79065200060,5.031409859110804,-547.5099981885148,12925.0
2025-01-23,TH10,Tax payable,Outflow,-235668.50912,2000055348,79180400047,HSBC CUR0123015,79180400047,8.632129613333976,-5574.598178655822,4127.5
2025-01-27,KR10,AP,Outflow,-59484.552800000005,2000331318,79339900031,HSBC2C000323018,79339900031,4.190392792122484,-547.5099981885148,10764.6
2025-01-27,KR10,AP,Outflow,-68310.62602,2000331317,79339900030,HSBC2C000323018,79339900030,4.817921963007462,-547.5099981885148,12376.6
2025-01-27,MY10,AR,Inflow,707059.51397,2000000500,79340800020,HSBC HSBC123022,79340800020,3.465313648972073,47011.68831110965,1404.0
2025-01-30,TW10,AR,Inflow,2178803.4041899997,2000197962,79459200001,HSBC TWD0123015,70,11.192108575505632,47011.68831110965,4534.6
2025-01-30,VN20,Netting AR,Inflow,710116.19712,2000002482,79460100008,HSBC2HSBC223015,79460100008,3.173170026995081,88035.73899490196,706.6
2025-01-31,KR10,AP,Outflow,-57801.29893999999,2000331576,79492200018,HSBC2C000323020,79492200018,4.070714326645767,-547.5099981885148,10457.1
2025-01-31,KR10,Tax payable,Outflow,-164389.86286000002,2000331479,관세납부,,20250131,5.958062704470176,-5574.598178655822,2848.9
2025-01-31,KR10,AP,Outflow,-59302.63138,2000331566,79492200008,HSBC2C000323020,79492200008,4.177458274697438,-547.5099981885148,10731.3
2025-01-31,KR10,AP,Outflow,-54047.96784,2000331575,79492200017,HSBC2C000323020,79492200017,3.80385445651659,-547.5099981885148,9771.6
2025-02-10,KR10,AP,Outflow,-62305.296259999996,2000332046,79891500011,HSBC2C000323028,79891500011,4.390946170800779,-547.5099981885148,11279.8
2025-02-10,KR10,AP,Outflow,-68310.62602,2000332048,79891500013,HSBC2C000323028,79891500013,4.817921963007462,-547.5099981885148,12376.6
2025-02-10,TW10,AP,Outflow,-46065.11025,2000199206,79899300001,HSBC TWD0123025,NONREF,3.2362774741056555,-547.5099981885148,8313.6
2025-02-15,ID10,Bank charges,Outflow,-790.90192,2000004319,80089300143,HSBC 7-06823032,80089300143,38.534822795392664,-1.0155653055390113,77778.0
2025-02-17,KR10,AP,Outflow,-72814.62333999999,2000332547,80168200013,HSBC2C000323033,80168200013,5.138153807162475,-547.5099981885148,13199.2
2025-02-20,VN20,AP,Outflow,-61424.85492,2000003652,80285800003,HSBC2HSBC223030,80285800003,4.328347253895005,-547.5099981885148,11118.9
2025-02-22,TW10,Payroll,Outflow,-262121.1345,2000200691,80369500214,HSBC TWD0123034,200020,3.6523851174389526,-33597.71603775,680.2
2025-02-24,KR10,Payroll,Outflow,-229033.76621999996,2000333189,80442600003,HSBC1C000123038,80442600003,3.1235648665680045,-33597.71603775,581.7
2025-02-27,VN20,Netting AR,Inflow,1060635.9640799998,2000004080,80566300028,HSBC2HSBC223035,80566300028,4.9611362038125195,88035.73899490196,1104.8
2025-02-27,KR10,AP,Outflow,-69811.95846000001,2000333394,80557200017,HSBC2C000323039,80557200017,4.924665911059134,-547.5099981885148,12650.8
2025-02-27,KR10,AP,Outflow,-73565.28955999999,2000333393,80557200016,HSBC2C000323039,80557200016,5.19152578118831,-547.5099981885148,13336.3
2025-02-27,KR10,AP,Outflow,-57801.29893999999,2000333392,80557200015,HSBC2C000323039,80557200015,4.070714326645767,-547.5099981885148,10457.1
2025-02-28,TH10,AR,Inflow,727579.4774399999,2000056858,80598500001,HSBC CUR0123041,80598500001,3.573045402224977,47011.68831110965,1447.7
2025-03-01,TW10,AR,Inflow,2519503.6509000002,2000201385,80646300101,HSBC TWD0123037,184,12.980817164847252,47011.68831110965,5259.3
2025-03-02,KR10,AP,Outflow,-64557.29491999999,2000333880,80683900064,HSBC2C000323041,80683900064,4.5510620928782854,-547.5099981885148,11691.1
2025-03-02,KR10,AP,Outflow,-52334.12676,2000333892,80683900076,HSBC2C000323041,80683900076,3.6820012557609076,-547.5099981885148,9458.6
2025-03-02,KR10,AP,Outflow,-63806.6287,2000333891,80683900075,HSBC2C000323041,80683900075,4.49769011885245,-547.5099981885148,11554.0
2025-03-02,KR10,AP,Outflow,-57801.29893999999,2000333890,80683900074,HSBC2C000323041,80683900074,4.070714326645767,-547.5099981885148,10457.1
2025-03-02,KR10,AP,Outflow,-69061.29224000001,2000333889,80683900073,HSBC2C000323041,80683900073,4.871293937033299,-547.5099981885148,12513.7
2025-03-02,KR10,AP,Outflow,-67559.9598,2000333888,80683900072,HSBC2C000323041,80683900072,4.764549988981627,-547.5099981885148,12239.5
2025-03-02,KR10,AP,Outflow,-69811.95846000001,2000333887,80683900071,HSBC2C000323041,80683900071,4.924665911059134,-547.5099981885148,12650.8
2025-03-02,KR10,AP,Outflow,-74315.95577999999,2000333886,80683900070,HSBC2C000323041,80683900070,5.2448977552141445,-547.5099981885148,13473.4
2025-03-02,KR10,AP,Outflow,-58551.96516,2000333884,80683900068,HSBC2C000323041,80683900068,4.124086300671602,-547.5099981885148,10594.2
2025-03-02,KR10,AP,Outflow,-69061.29224000001,2000333883,80683900067,HSBC2C000323041,80683900067,4.871293937033299,-547.5099981885148,12513.7
2025-03-02,KR10,AP,Outflow,-63806.6287,2000333882,80683900066,HSBC2C000323041,80683900066,4.49769011885245,-547.5099981885148,11554.0
2025-03-02,KR10,AP,Outflow,-66058.62736,2000333881,80683900065,HSBC2C000323041,80683900065,4.657806040929956,-547.5099981885148,11965.3
2025-03-02,KR10,AP,Outflow,-70562.62468,2000333876,80683900060,HSBC2C000323041,80683900060,4.9780378850849685,-547.5099981885148,12787.9
2025-03-02,KR10,AP,Outflow,-60803.963820000004,2000333878,80683900062,HSBC2C000323041,80683900062,4.2842022227491094,-547.5099981885148,11005.5
2025-03-02,KR10,AP,Outflow,-50286.0136,2000333877,80683900061,HSBC2C000323041,80683900061,3.536381485661899,-547.5099981885148,9084.5
2025-03-02,MY10,AR,Inflow,699255.4296,2000001672,80684900002,HSBC HSBC123051,80684900002,3.424341466300167,47011.68831110965,1387.4
2025-03-02,KR10,AP,Outflow,-69811.95846000001,2000333875,80683900059,HSBC2C000323041,80683900059,4.924665911059134,-547.5099981885148,12650.8
2025-03-02,KR10,AP,Outflow,-60053.297600000005,2000333874,80683900058,HSBC2C000323041,80683900058,4.230830248723274,-547.5099981885148,10868.4
2025-03-02,KR10,AP,Outflow,-57050.632719999994,2000333873,80683900057,HSBC2C000323041,80683900057,4.017342352619932,-547.5099981885148,10320.0
2025-03-02,KR10,AP,Outflow,-74315.95577999999,2000333872,80683900056,HSBC2C000323041,80683900056,5.2448977552141445,-547.5099981885148,13473.4
2025-03-02,KR10,AP,Outflow,-66809.29358,2000333871,80683900055,HSBC2C000323041,80683900055,4.711178014955792,-547.5099981885148,12102.4
2025-03-02,KR10,AP,Outflow,-59302.63138,2000333870,80683900054,HSBC2C000323041,80683900054,4.177458274697438,-547.5099981885148,10731.3
2025-03-02,KR10,AP,Outflow,-58551.96516,2000333869,80683900053,HSBC2C000323041,80683900053,4.124086300671602,-547.5099981885148,10594.2
2025-03-02,KR10,AP,Outflow,-66809.29358,2000333879,80683900063,HSBC2C000323041,80683900063,4.711178014955792,-547.5099981885148,12102.4
2025-03-03,ID10,Bank charges,Outflow,-403.36419,2000005865,80725200127,HSBC 7-06823044,80725200127,19.628688180805874,-1.0155653055390113,39618.2
2025-03-16,TW10,AP,Outflow,-58780.985369999995,2000202421,81239800029,HSBC TWD0123048,5000,4.14036951733148,-547.5099981885148,10636.1
2025-03-17,KR10,AP,Outflow,-44285.55339999999,2000334675,81348800042,HSBC2C000323052,81348800042,3.1097519166139413,-547.5099981885148,7988.5
2025-03-20,TW10,Payroll,Outflow,-356072.15797999996,2000202562,81393300013,HSBC TWD0123050,200020,5.153961289524764,-33597.71603775,959.8
2025-03-21,VN20,Payroll,Outflow,-298793.66176,2000005275,81431900027,HSBC2HSBC223051,81431900027,4.238505322031569,-33597.71603775,789.3
2025-03-24,KR10,Payroll,Outflow,-387669.40667000005,2000335147,81546300003,HSBC1C000123057,81546300003,5.658965641568613,-33597.71603775,1053.9
2025-03-27,KR10,AP,Outflow,-63055.96248,2000335277,81663200018,HSBC2C000323058,81663200018,4.444318144826616,-547.5099981885148,11416.9
2025-03-27,KR10,AP,Outflow,-55940.311349999996,2000335271,81663200012,HSBC2C000323058,81663200012,3.9383990863038187,-547.5099981885148,10117.2
2025-03-27,KR10,Other receipt,Inflow,1010734.0264000001,2000335257,81663200054,HSBC2C000323058,81663200054,12.998019201135063,5211.418754535124,19294.6
2025-03-27,KR10,AP,Outflow,-60053.297600000005,2000335278,81663200019,HSBC2C000323058,81663200019,4.230830248723274,-547.5099981885148,10868.4
2025-03-27,KR10,AP,Outflow,-45079.5064,2000335280,81663200021,HSBC2C000323058,81663200021,3.166201557965506,-547.5099981885148,8133.5
2025-03-27,KR10,AP,Outflow,-73565.28955999999,2000335279,81663200020,HSBC2C000323058,81663200020,5.19152578118831,-547.5099981885148,13336.3
2025-03-27,KR10,AP,Outflow,-44285.55339999999,2000335289,81663200030,HSBC2C000323058,81663200030,3.1097519166139413,-547.5099981885148,7988.5
2025-03-28,ID10,Custom and Duty,Outflow,-33930.62908,2000008350,81706000051,HSBC 7-06823059,81706000051,5.374294469700967,-3640.758669511202,832.0
2025-03-29,SS10,Statutory contribution,Outflow,-64685.0042,2000001915,81748000043,HSBC HSBC123074,81748000043,5.649135676414216,-6684.700601111112,867.7
2025-03-29,TW10,AP,Outflow,-789544.5234599999,2000203752,81752700124,HSBC TWD0123058,5000,56.09727331135999,-547.5099981885148,144106.4
2025-03-30,MY10,Statutory contribution,Outflow,-38801.0601,2000002736,81785700001,HSBC HSBC123075,81785700001,3.128081423442644,-6684.700601111112,480.4
2025-03-31,TH10,AR,Inflow,830203.1170999999,2000058189,81823200001,HSBC CUR0123063,81823200001,4.111829237875053,47011.68831110965,1666.0
2025-03-31,TW10,AP,Outflow,-45908.39088,2000204149,81830600075,HSBC TWD0123060,200020,3.2251348092006262,-547.5099981885148,8284.9
2025-03-31,MY10,AR,Inflow,723041.26058,2000002739,81824400032,HSBC HSBC123076,81824400032,3.5492193335438866,47011.68831110965,1438.0
2025-03-31,KR10,AP,Outflow,-66809.29358,2000335694,81823600019,HSBC2C000323062,81823600019,4.711178014955792,-547.5099981885148,12102.4
2025-03-31,KR10,Tax payable,Outflow,-110715.70419,2000335766,관세납부,,20250331,3.944440124756606,-5574.598178655822,1886.1
2025-03-31,KR10,Tax payable,Outflow,-273410.79795,2000335763,국세납부,,20250331,10.04805725675388,-5574.598178655822,4804.6
2025-03-31,KR10,Tax payable,Outflow,-125143.11263999999,2000335764,관세납부,,20250331,4.485694168444262,-5574.598178655822,2144.9
2025-04-03,KR10,AP,Outflow,-47510.1195,2000335911,81952200005,HSBC2C000323063,81952200005,3.339016872926735,-547.5099981885148,8577.5
2025-04-03,KR10,AP,Outflow,-67559.9598,2000335910,81952200004,HSBC2C000323063,81952200004,4.764549988981627,-547.5099981885148,12239.5
2025-04-06,TW10,AR,Inflow,1450479.96263,2000204434,82066500002,HSBC TWD0123061,215,7.368341471379901,47011.68831110965,2985.4
2025-04-06,TW10,AR,Inflow,1845657.84656,2000204433,82066500001,HSBC TWD0123061,275,9.443062819923876,47011.68831110965,3826.0
2025-04-10,KR10,Tax payable,Outflow,-117110.1192,2000336238,국세납부,,20250410,4.184330954296373,-5574.598178655822,2000.8
2025-04-10,KR10,AP,Outflow,-126796.18721,2000336234,82214700019,HSBC2C000323068,82214700019,8.976214649628004,-547.5099981885148,23058.7
2025-04-11,TW10,AP,Outflow,-75484.91412,2000204697,82266100007,HSBC TWD0123064,200020,5.328010079303757,-547.5099981885148,13686.9
2025-04-11,TH10,AR,Inflow,798646.59755,2000058731,82257200029,HSBC CUR0123069,82257200029,3.9461545190749305,47011.68831110965,1598.8
2025-04-11,TH10,Custom and Duty,Outflow,-29459.057819999998,2000058760,82257200031,HSBC CUR0123069,82257200031,4.580909078221374,-3640.758669511202,709.1
2025-04-12,KR10,AP,Outflow,-46364.40496,2000336466,82297200072,HSBC2C000323070,82297200072,3.257557170810524,-547.5099981885148,8368.2
2025-04-14,ID10,Bank charges,Outflow,-833.7648000000002,2000009938,82380000119,HSBC 7-06823071,82380000119,40.62590017061722,-1.0155653055390113,81998.6
2025-04-14,KR10,AP,Outflow,-54047.96784,2000336587,82379100027,HSBC2C000323072,82379100027,3.80385445651659,-547.5099981885148,9771.6
2025-04-17,KR10,AP,Outflow,-44999.436839999995,2000336681,82499000028,HSBC2C000323073,82499000028,3.16050865429844,-547.5099981885148,8118.9
2025-04-17,PH10,Tax payable,Outflow,-100265.8823,2000006302,82498300003,HSBC1C001 23072,NONREF E-T,3.5524079470179712,-5574.598178655822,1698.6
2025-04-18,TW10,AP,Outflow,-66238.58648,2000205368,82545900007,HSBC TWD0123069,200020,4.670601039855514,-547.5099981885148,11998.2
2025-04-20,KR10,AP,Outflow,-54849.18008,2000337046,82628100014,HSBC2C000323076,82628100014,3.8608202260199276,-547.5099981885148,9917.9
2025-04-21,KR10,AP,Outflow,-65307.96113999999,2000337063,82664500015,HSBC2C000323077,82664500015,4.604434066904121,-547.5099981885148,11828.2
2025-04-25,KR10,Netting AP,Outflow,-3220360.473,2000337348,82830100050,HSBC2C000323079,82830100050,3.418509932489775,-568568.468581416,466.4
2025-04-25,KR10,Tax payable,Outflow,-228468.064,2000337395,국세납부,,20250425,8.362000015835056,-5574.598178655822,3998.4
2025-04-25,KR10,AP,Outflow,-56121.906480000005,2000337352,82830100057,HSBC2C000323079,82830100057,3.9513104046812177,-547.5099981885148,10150.4
2025-04-25,KR10,AP,Outflow,-72063.95711999999,2000337351,82830100056,HSBC2C000323079,82830100056,5.084781833136639,-547.5099981885148,13062.1
2025-04-25,KR10,AP,Outflow,-58551.96516,2000337350,82830100055,HSBC2C000323079,82830100055,4.124086300671602,-547.5099981885148,10594.2
2025-04-25,KR10,AP,Outflow,-67559.9598,2000337349,82830100054,HSBC2C000323079,82830100054,4.764549988981627,-547.5099981885148,12239.5
2025-04-26,KR10,AP,Outflow,-57050.632719999994,2000337517,82883700103,HSBC2C000323080,82883700103,4.017342352619932,-547.5099981885148,10320.0
2025-04-26,KR10,AP,Outflow,-60053.297600000005,2000337516,82883700102,HSBC2C000323080,82883700102,4.230830248723274,-547.5099981885148,10868.4
2025-04-27,TW10,AP,Outflow,-482584.5486,2000206106,82920200007,HSBC TWD0123076,5000,34.27258030039834,-547.5099981885148,88041.7
2025-04-28,MY10,AR,Inflow,711312.85725,2000003848,82955600042,HSBC HSBC123096,82955600042,3.4876441043557183,47011.68831110965,1413.1
2025-04-28,KR10,Tax payable,Outflow,-181202.37156,2000337762,관세납부,,20250428,6.588795406739299,-5574.598178655822,3150.5
2025-04-28,KR10,Tax payable,Outflow,-124102.89255000002,2000337763,관세납부,,20250428,4.446669604054278,-5574.598178655822,2126.2
2025-05-02,KR10,AP,Outflow,-391154.6659,2000337984,83120400034,HSBC2C000323083,83120400034,27.771963655293977,-547.5099981885148,71342.5
2025-05-02,TW10,AR,Inflow,2451145.47456,2000206449,83116100001,HSBC TWD0123078,393,12.621930259563722,47011.68831110965,5113.9
2025-05-02,KR10,Tax payable,Outflow,-245126.92230000003,2000337942,국세납부,,20250502,8.986968418812145,-5574.598178655822,4297.2
2025-05-02,MY10,Non Netting AP,,-26474.146259999998,2000003946,83110400008,HSBC HSBC123098,83110400008,3.260665614818566,-6253.103191333333,323.4
2025-05-04,KR10,AP,Outflow,-68310.62602,2000338111,83189300030,HSBC2C000323085,83189300030,4.817921963007462,-547.5099981885148,12376.6
2025-05-04,KR10,AP,Outflow,-63055.96248,2000338110,83189300029,HSBC2C000323085,83189300029,4.444318144826616,-547.5099981885148,11416.9
2025-05-09,ID10,Custom and Duty,Outflow,-27325.855440000003,2000012304,83390000009,HSBC 7-06823082,83390000009,4.202417602417074,-3640.758669511202,650.6
2025-05-09,TH10,Bank charges,Outflow,-86.34075,2000059817,83389500073,HSBC CUR0123084,83389500073,4.16261257413042,-1.0155653055390113,8401.7
2025-05-15,TW10,Interest charges,Outflow,-3773.2068,2000207636,83631500016,HSBC TWD0123087,LOAN I,3.0304139692818355,-673.3376760714285,460.4
2025-05-16,TW10,AP,Outflow,-97512.64128000001,2000207814,83673300017,HSBC TWD0123088,5000,6.894169912407356,-547.5099981885148,17710.2
2025-05-18,KR10,AP,Outflow,-55392.5816,2000339020,83747300016,HSBC2C000323095,83747300016,3.899455788721869,-547.5099981885148,10017.2
2025-05-18,KR10,AP,Outflow,-60803.963820000004,2000339019,83747300015,HSBC2C000323095,83747300015,4.2842022227491094,-547.5099981885148,11005.5
2025-05-19,KR10,AP,Outflow,-58551.96516,2000339077,83787800047,HSBC2C000323096,83787800047,4.124086300671602,-547.5099981885148,10594.2
2025-05-23,KR10,AP,Outflow,-45927.26028,2000339461,83948300044,HSBC2C000323098,83948300044,3.2264764136312656,-547.5099981885148,8288.4
2025-05-26,KR10,AP,Outflow,-66809.29358,2000339784,84070200044,HSBC2C000323101,84070200044,4.711178014955792,-547.5099981885148,12102.4
2025-05-26,KR10,AP,Outflow,-64509.322680000005,2000339786,84070200046,HSBC2C000323101,84070200046,4.547651291807151,-547.5099981885148,11682.3
2025-05-26,KR10,AP,Outflow,-52546.63539999999,2000339785,84070200045,HSBC2C000323101,84070200045,3.697110508464919,-547.5099981885148,9497.4
2025-05-26,KR10,AP,Outflow,-56044.46925,2000339764,84070200024,HSBC2C000323101,84070200024,3.9458046582947706,-547.5099981885148,10136.2
2025-05-26,SS10,Non Netting AR,,33163.84976,2000003281,84071800001,HSBC HSBC123118,84071800001,3.7295450314929535,7322.978782105262,352.9
2025-05-29,TH10,AR,Inflow,624973.4463,2000060824,84187400001,HSBC CUR0123098,84187400001,3.0343540129739677,47011.68831110965,1229.4
2025-05-30,MY10,AR,Inflow,745413.91676,2000005071,84228200019,HSBC HSBC123121,84228200019,3.666677899136344,47011.68831110965,1485.6
2025-05-30,TW10,AR,Inflow,2513473.74174,2000209266,84235200001,HSBC TWD0123098,478,12.949159570197423,47011.68831110965,5246.5
